"","D","Lad_2","Lad_3","Lad_31","Lad_mean"
"1",1990-01-01,0.665836963285625,0.202020202020204,0.461538461538469,0.563687712412047
"2",1990-02-01,0.835096453018046,0.250841750841751,0.573076923076928,0.704086688047487
"3",1990-03-01,0.535780958307406,0.202020202020204,0.461538461538469,0.498659709922938
"4",1990-04-01,0.302426882389547,0.139730639730641,0.319230769230775,0.310828825810161
"5",1990-05-01,0.24051026757934,NA,NA,0.24051026757934
"6",1990-06-01,0.167081518357188,0.0925925925925941,0.211538461538466,0.189309989947827
"7",1990-07-01,0.146546359676416,0.067340067340068,0.153846153846156,0.150196256761286
"8",1990-08-01,0.0793403858120726,0.021885521885521,0.0499999999999984,0.0646701929060355
"9",1990-09-01,0.0432482887367762,0,0,0.0216241443683881
"10",1990-10-01,0.0902302426882392,0.0151515151515157,0.034615384615386,0.0624228136518126
"11",1990-11-01,0.502177971375233,0.0841750841750838,0.192307692307693,0.347242831841463
"12",1990-12-01,0.787492221530803,0.141414141414141,0.323076923076925,0.555284572303864
"13",1991-01-01,0.743932794026137,0.232323232323231,0.53076923076923,0.637351012397684
"14",1991-02-01,0.391412570006222,0.171717171717173,0.392307692307697,0.39186013115696
"15",1991-03-01,0.630678282514001,0.247474747474746,0.565384615384616,0.598031448949309
"16",1991-04-01,0.61014312383323,0.196969696969699,0.450000000000007,0.530071561916619
"17",1991-05-01,0.446172993154947,0.205387205387204,0.46923076923077,0.457701881192858
"18",1991-06-01,0.264467952706907,0.153198653198652,0.349999999999999,0.307233976353453
"19",1991-07-01,0.298693217174861,0.127946127946131,0.2923076923077,0.295500454741281
"20",1991-08-01,0.211885500933416,0.0774410774410784,0.17692307692308,0.194404288928248
"21",1991-09-01,0.11636589919104,0.0336700336700364,0.0769230769230836,0.0966444880570616
"22",1991-10-01,0.0709396390790293,0.0387205387205416,0.0884615384615457,0.0797005887702875
"23",1991-11-01,0.621655258245178,0.0690235690235681,0.157692307692307,0.389673782968742
"24",1991-12-01,0.406969508400746,0.191919191919194,0.438461538461545,0.422715523431146
"25",1992-01-01,0.756689483509645,0.203703703703704,0.465384615384619,0.611037049447132
"26",1992-02-01,0.587741132545115,0.183501683501683,0.419230769230771,0.503485950887943
"27",1992-03-01,0.488487865588052,0.171717171717173,0.392307692307697,0.440397778947875
"28",1992-04-01,0.605476042314872,0.21885521885522,0.500000000000005,0.552738021157439
"29",1992-05-01,0.453018046048538,0.181818181818183,0.415384615384621,0.43420133071658
"30",1992-06-01,0.295892968263846,0.143097643097642,0.326923076923075,0.31140802259346
"31",1992-07-01,0.22059738643435,0.138047138047141,0.315384615384624,0.267991000909487
"32",1992-08-01,0.152457996266335,0.106060606060605,0.242307692307691,0.197382844287013
"33",1992-09-01,NA,0.12121212121212,0.276923076923077,0.276923076923077
"34",1992-10-01,0.533914125700063,0.141414141414141,0.323076923076925,0.428495524388494
"35",1992-11-01,0.64872433105165,0.196969696969699,0.450000000000007,0.549362165525829
"36",1992-12-01,0.759489732420661,0.242424242424241,0.553846153846154,0.656667943133407
"37",1993-01-01,0.483820784069696,0.215488215488215,0.492307692307694,0.488064238188695
"38",1993-02-01,0.638145612943373,0.240740740740741,0.550000000000004,0.594072806471688
"39",1993-03-01,0.374922215308028,0.188552188552188,0.430769230769233,0.402845723038631
"40",1993-04-01,0.274735532047293,0.163299663299662,0.373076923076923,0.323906227562108
"41",1993-05-01,0.523024268823896,0.200336700336699,0.457692307692308,0.490358288258102
"42",1993-06-01,0.434971997510891,0.21043771043771,0.480769230769232,0.457870614140061
"43",1993-07-01,0.3627878033603,0.166666666666667,0.380769230769235,0.371778517064767
"44",1993-08-01,0.556627255756067,0.212121212121214,0.484615384615393,0.52062132018573
"45",1993-09-01,0.773802115743622,0.185185185185183,0.423076923076922,0.598439519410272
"46",1993-10-01,0.795892968263845,0.255892255892257,0.58461538461539,0.690254176439618
"47",1993-11-01,0.388301182327319,0.208754208754209,0.476923076923081,0.4326121296252
"48",1993-12-01,0.951462352209085,0.249158249158251,0.569230769230777,0.760346560719931
"49",1994-01-01,0.840696950840074,0.296296296296298,0.676923076923086,0.75881001388158
"50",1994-02-01,0.725575606720598,0.299663299663299,0.684615384615387,0.705095495667992
"51",1994-03-01,0.612321095208463,0.244107744107746,0.557692307692315,0.585006701450389
"52",1994-04-01,0.852520224019913,0.296296296296298,0.676923076923086,0.764721650471499
"53",1994-05-01,0.416303671437461,0.227272727272725,0.519230769230768,0.467767220334115
"54",1994-06-01,0.296204107031736,0.207070707070709,0.473076923076931,0.384640515054333
"55",1994-07-01,0.229309271935283,0.148148148148147,0.338461538461537,0.28388540519841
"56",1994-08-01,0.213130056004978,0.112794612794615,0.257692307692314,0.235411181848646
"57",1994-09-01,0.141257000622277,0.10942760942761,0.250000000000003,0.19562850031114
"58",1994-10-01,0.63627878033603,0.183501683501683,0.419230769230771,0.527754774783401
"59",1994-11-01,0.775668948350965,0.265993265993267,0.607692307692314,0.691680628021639
"60",1994-12-01,0.60983198506534,0.271043771043772,0.619230769230776,0.614531377148058
"61",1995-01-01,0.973242065961418,0.262626262626262,0.600000000000002,0.78662103298071
"62",1995-02-01,0.718419415059116,0.301346801346803,0.688461538461548,0.703440476760332
"63",1995-03-01,0.705351586807717,0.265993265993267,0.607692307692314,0.656521947250015
"64",1995-04-01,0.607031736154325,0.242424242424241,0.553846153846154,0.58043894500024
"65",1995-05-01,0.330429371499689,0.215488215488215,0.492307692307694,0.411368531903691
"66",1995-06-01,0.283136278780337,0.208754208754209,0.476923076923081,0.380029677851709
"67",1995-07-01,0.22028624766646,0.144781144781146,0.330769230769237,0.275527739217848
"68",1995-08-01,0.153080273802115,0.0858585858585887,0.196153846153854,0.174617059977985
"69",1995-09-01,0.114187927815806,0.0572390572390576,0.130769230769232,0.122478579292519
"70",1995-10-01,0.0743621655258241,0.0471380471380471,0.107692307692308,0.0910272366090663
"71",1995-11-01,0.0675171126322336,0.0622895622895628,0.142307692307694,0.104912402469964
"72",1995-12-01,0.238954573739888,0.0841750841750838,0.192307692307693,0.21563113302379
"73",1996-01-01,0.548226509023025,0.023569023569026,0.0538461538461597,0.301036331434592
"74",1996-02-01,0.796826384567518,0.191919191919194,0.438461538461545,0.617643961514531
"75",1996-03-01,0.451462352209085,0.202020202020204,0.461538461538469,0.456500406873777
"76",1996-04-01,0.360920970752957,0.023569023569026,0.0538461538461597,0.207383562299558
"77",1996-05-01,0.369632856253889,0.191919191919194,0.438461538461545,0.404047197357717
"78",1996-06-01,0.261356565028002,0.156565656565657,0.357692307692311,0.309524436360156
"79",1996-07-01,0.169259489732421,0.10774410774411,0.246153846153852,0.207706667943137
"80",1996-08-01,0.0871188550093346,0.0723905723905732,0.165384615384618,0.126251735196976
"81",1996-09-01,0.0628500311138771,0.00673400673401015,0.0153846153846233,0.0391173232492502
"82",1996-10-01,0,0.0572390572390576,0.130769230769232,0.0653846153846162
"83",1996-11-01,0.554449284380834,NA,NA,0.554449284380834
"84",1996-12-01,0.621966397013068,0.21043771043771,0.480769230769232,0.55136781389115
"85",1997-01-01,0.505289359054139,0.191919191919194,0.438461538461545,0.471875448757842
"86",1997-02-01,0.897324206596141,0.244107744107746,0.557692307692315,0.727508257144228
"87",1997-03-01,0.509334163036715,0.247474747474746,0.565384615384616,0.537359389210665
"88",1997-04-01,0.489110143123834,0.200336700336699,0.457692307692308,0.473401225408071
"89",1997-05-01,0.653080273802116,0.239057239057241,0.546153846153853,0.599617059977985
"90",1997-06-01,0.38985687616677,0.22053872053872,0.503846153846156,0.446851515006463
"91",1997-07-01,0.484131922837586,0.23063973063973,0.52692307692308,0.505527499880333
"92",1997-08-01,0.290292470441817,0.153198653198652,0.349999999999999,0.320146235220908
"93",1997-09-01,0.251088985687617,0.208754208754209,0.476923076923081,0.364006031305349
"94",1997-10-01,0.552893590541381,0.213804713804715,0.488461538461543,0.520677564501462
"95",1997-11-01,0.560360920970753,0.213804713804715,0.488461538461543,0.524411229716148
"96",1997-12-01,0.635345364032359,0.244107744107746,0.557692307692315,0.596518835862337
"97",1998-01-01,0.84380833851898,0.271043771043772,0.619230769230776,0.731519553874878
"98",1998-02-01,0.424704418170504,0.234006734006735,0.534615384615391,0.479659901392948
"99",1998-03-01,0.496577473553204,0.271043771043772,0.619230769230776,0.55790412139199
"100",1998-04-01,0.683883011823274,0.304713804713804,0.696153846153849,0.690018428988561
"101",1998-05-01,0.445239576851276,0.242424242424241,0.553846153846154,0.499542865348715
"102",1998-06-01,0.494399502177971,0.223905723905725,0.511538461538467,0.502968981858219
"103",1998-07-01,0.370877411325452,0.222222222222225,0.507692307692317,0.439284859508884
"104",1998-08-01,NA,0.156565656565657,0.357692307692311,0.357692307692311
"105",1998-09-01,0.238643434971997,0.1010101010101,0.230769230769229,0.234706332870613
"106",1998-10-01,0.541070317361543,0.178451178451178,0.407692307692309,0.474381312526926
"107",1998-11-01,0.689172370877411,0.265993265993267,0.607692307692314,0.648432339284862
"108",1998-12-01,0.592719352831363,0.254208754208756,0.580769230769239,0.586744291800301
"109",1999-01-01,0.790603609209709,0.297979797979798,0.680769230769236,0.735686419989472
"110",1999-02-01,0.640634723086496,0.213804713804715,0.488461538461543,0.56454813077402
"111",1999-03-01,0.702862476664592,0.292929292929293,0.669230769230774,0.686046622947683
"112",1999-04-01,0.472619788425638,0.279461279461278,0.638461538461539,0.555540663443588
"113",1999-05-01,0.492843808338518,0.262626262626262,0.600000000000002,0.54642190416926
"114",1999-06-01,0.383945239576851,0.227272727272725,0.519230769230768,0.451588004403809
"115",1999-07-01,0.379900435594275,0.237373737373736,0.542307692307692,0.461104063950983
"116",1999-08-01,0.249222153080274,0.171717171717173,0.392307692307697,0.320764922693985
"117",1999-09-01,0.156813939016801,0.132996632996636,0.303846153846162,0.230330046431482
"118",1999-10-01,0.544492843808339,0.239057239057241,0.546153846153853,0.545323344981096
"119",1999-11-01,0.556938394523957,0.274410774410772,0.626923076923077,0.591930735723517
"120",1999-12-01,0.631300560049783,0.291245791245793,0.665384615384624,0.648342587717203
"121",2000-01-01,0.595830740510267,0.202020202020204,0.461538461538469,0.528684601024368
"122",2000-02-01,0.660858742999378,0.250841750841751,0.573076923076928,0.616967833038153
"123",2000-03-01,0.642501555693839,0.237373737373736,0.542307692307692,0.592404624000766
"124",2000-04-01,0.528935905413815,0.213804713804715,0.488461538461543,0.508698721937679
"125",2000-05-01,0.568139390168015,0.208754208754209,0.476923076923081,0.522531233545548
"126",2000-06-01,0.593652769135034,0.208754208754209,0.476923076923081,0.535287923029058
"127",2000-07-01,0.346608587429994,0.23063973063973,0.52692307692308,0.436765832176537
"128",2000-08-01,0.304293714996888,0.183501683501683,0.419230769230771,0.36176224211383
"129",2000-09-01,0.320784069695084,0.131313131313131,0.300000000000001,0.310392034847543
"130",2000-10-01,0.540448039825763,0.202020202020204,0.461538461538469,0.500993250682116
"131",2000-11-01,0.871188550093342,0.395622895622893,0.903846153846154,0.887517351969748
"132",2000-12-01,0.886434349719976,0.437710437710435,1,0.943217174859988
"133",2001-01-01,0.669259489732421,0.279461279461278,0.638461538461539,0.65386051409698
"134",2001-02-01,0.677349097697573,0.260942760942762,0.596153846153852,0.636751471925712
"135",2001-03-01,NA,NA,NA,NA
"136",2001-04-01,NA,NA,NA,NA
"137",2001-05-01,NA,NA,NA,NA
"138",2001-06-01,NA,NA,NA,NA
"139",2001-07-01,NA,NA,NA,NA
"140",2001-08-01,NA,NA,NA,NA
"141",2001-09-01,0.308649657747356,NA,NA,0.308649657747356
"142",2001-10-01,0.312694461729932,0.175084175084178,0.400000000000009,0.35634723086497
"143",2001-11-01,0.316739265712508,0.163299663299662,0.373076923076923,0.344908094394716
"144",2001-12-01,0.557249533291849,0.265993265993267,0.607692307692314,0.582470920492081
"145",2002-01-01,0.565650280024892,0.245791245791246,0.561538461538466,0.563594370781679
"146",2002-02-01,0.589296826384568,0.274410774410772,0.626923076923077,0.608109951653822
"147",2002-03-01,0.592408214063473,0.282828282828283,0.64615384615385,0.619281030108662
"148",2002-04-01,0.578718108276292,0.255892255892257,0.58461538461539,0.581666746445841
"149",2002-05-01,0.576228998133167,0.21043771043771,0.480769230769232,0.528499114451199
"150",2002-06-01,0.444306160547604,0.289562289562288,0.661538461538463,0.552922311043033
"151",2002-07-01,0.427815805849409,0.262626262626262,0.600000000000002,0.513907902924706
"152",2002-08-01,0.437461107654014,0.276094276094277,0.630769230769238,0.534115169211626
"153",2002-09-01,0.416303671437461,0.207070707070709,0.473076923076931,0.444690297257196
"154",2002-10-01,0.365276913503423,0.193602693602694,0.442307692307695,0.403792302905559
"155",2002-11-01,0.534847542003734,0.249158249158251,0.569230769230777,0.552039155617256
"156",2002-12-01,0.542937149968886,0.260942760942762,0.596153846153852,0.569545498061369
"157",2003-01-01,0.557249533291849,0.249158249158251,0.569230769230777,0.563240151261313
"158",2003-02-01,0.544181705040449,0.215488215488215,0.492307692307694,0.518244698674071
"159",2003-03-01,0.542314872433106,0.225589225589225,0.515384615384618,0.528849743908862
"160",2003-04-01,0.366521468574984,0.254208754208756,0.580769230769239,0.473645349672112
"161",2003-05-01,0.364343497199751,0.259259259259262,0.592307692307702,0.478325594753726
"162",2003-06-01,0.355942750466708,0.22053872053872,0.503846153846156,0.429894452156432
"163",2003-07-01,0.316428126944618,0.144781144781142,0.330769230769226,0.323598678856922
"164",2003-08-01,0.313939016801493,0.134680134680136,0.307692307692313,0.310815662246903
"165",2003-09-01,0.127878033602987,0.138047138047141,0.315384615384624,0.221631324493806
"166",2003-10-01,0.124144368388302,0.124579124579126,0.284615384615389,0.204379876501845
"167",2003-11-01,0.136901057871811,0.136363636363636,0.311538461538463,0.224219759705137
"168",2003-12-01,0.138456751711263,0.149831649831652,0.342307692307699,0.240382222009481
"169",2004-01-01,0.836963285625389,0.279461279461278,0.638461538461539,0.737712412043463
"170",2004-02-01,0.907902924704419,0.34175084175084,0.780769230769233,0.844336077736826
"171",2004-03-01,0.895146235220908,0.316498316498314,0.723076923076923,0.809111579148916
"172",2004-04-01,0.63596764156814,0.286195286195288,0.653846153846162,0.644906897707151
"173",2004-05-01,0.627878033602987,0.276094276094277,0.630769230769238,0.629323632186113
"174",2004-06-01,0.50031113876789,0.255892255892257,0.58461538461539,0.54246326169164
"175",2004-07-01,0.290603609209707,0.23063973063973,0.52692307692308,0.408763343066393
"176",2004-08-01,0.4411947728687,0.225589225589225,0.515384615384618,0.478289694126659
"177",2004-09-01,0.679838207840698,0.265993265993267,0.607692307692314,0.643765257766506
"178",2004-10-01,0.671748599875544,0.252525252525251,0.576923076923078,0.624335838399311
"179",2004-11-01,0.74611076540137,0.265993265993267,0.607692307692314,0.676901536546842
"180",2004-12-01,0.70784069695084,0.245791245791246,0.561538461538466,0.634689579244653
"181",2005-01-01,0.775980087118855,0.260942760942762,0.596153846153852,0.686066966636353
"182",2005-02-01,0.821406347230865,0.284511784511783,0.650000000000001,0.735703173615433
"183",2005-03-01,0.815494710640946,0.274410774410772,0.626923076923077,0.721208893782011
"184",2005-04-01,0.525824517734909,0.282828282828283,0.64615384615385,0.58598918194438
"185",2005-05-01,0.491288114499067,0.272727272727272,0.623076923076926,0.557182518787997
"186",2005-06-01,0.42874922215308,0.223905723905725,0.511538461538467,0.470143841845774
"187",2005-07-01,0.393901680149348,0.212121212121214,0.484615384615393,0.43925853238237
"188",2005-08-01,NA,NA,NA,NA
"189",2005-09-01,0.381922837585563,0.202861952861954,0.463461538461544,0.422692188023553
"190",2005-10-01,0.349408836341009,0.191919191919194,0.438461538461545,0.393935187401277
"191",2005-11-01,0.719352831362788,0.234006734006735,0.534615384615391,0.62698410798909
"192",2005-12-01,0.72744243932794,0.245791245791246,0.561538461538466,0.644490450433203
"193",2006-01-01,0.572495332918481,0.299663299663299,0.684615384615387,0.628555358766934
"194",2006-02-01,0.573117610454263,0.291245791245793,0.665384615384624,0.619251112919444
"195",2006-03-01,0.690105787181083,0.314814814814814,0.719230769230773,0.704668278205928
"196",2006-04-01,0.780024891101431,0.350168350168351,0.800000000000007,0.790012445550719
"197",2006-05-01,0.639701306782825,0.33838383838384,0.773076923076932,0.706389114929879
"198",2006-06-01,0.651524579962664,0.343434343434345,0.784615384615394,0.718069982289029
"199",2006-07-01,0.301804604853765,0.234006734006735,0.534615384615391,0.418209994734578
"200",2006-08-01,0.254511512134412,0.208754208754209,0.476923076923081,0.365717294528747
"201",2006-09-01,0.24704418170504,0.225589225589225,0.515384615384618,0.381214398544829
"202",2006-10-01,0.378344741754824,0.249158249158251,0.569230769230777,0.4737877554928
"203",2006-11-01,0.432482887367766,0.277777777777778,0.634615384615388,0.533549135991577
"204",2006-12-01,0.888301182327319,0.222222222222225,0.507692307692317,0.697996745009818
"205",2007-01-01,0.939016801493467,0.257575757575757,0.58846153846154,0.763739169977503
"206",2007-02-01,0.917548226509024,0.250841750841751,0.573076923076928,0.745312574792976
"207",2007-03-01,0.925015556938395,0.289562289562288,0.661538461538463,0.793277009238429
"208",2007-04-01,0.780336029869322,0.259259259259262,0.592307692307702,0.686321861088512
"209",2007-05-01,0.313316739265712,0.249158249158251,0.569230769230777,0.441273754248245
"210",2007-06-01,0.28562538892346,0.223905723905725,0.511538461538467,0.398581925230964
"211",2007-07-01,0.759178593652769,0.34175084175084,0.780769230769233,0.769973912211001
"212",2007-08-01,0.686683260734288,0.289562289562288,0.661538461538463,0.674110861136375
"213",2007-09-01,0.33105164903547,0.235690235690236,0.538461538461542,0.434756593748506
"214",2007-10-01,0.191039203484754,0.207070707070709,0.473076923076931,0.332058063280842
"215",2007-11-01,0.160236465463597,0.134680134680136,0.307692307692313,0.233964386577955
"216",2007-12-01,0.78531425015557,0.234006734006735,0.534615384615391,0.659964817385481
"217",2008-01-01,0.783447417548227,0.265993265993267,0.607692307692314,0.69556986262027
"218",2008-02-01,0.679060360920972,0.240740740740741,0.550000000000004,0.614530180460488
"219",2008-03-01,0.63627878033603,0.21043771043771,0.480769230769232,0.558524005552631
"220",2008-04-01,0.659614187927816,0.254208754208756,0.580769230769239,0.620191709348528
"221",2008-05-01,0.59707529558183,0.249158249158251,0.569230769230777,0.583153032406304
"222",2008-06-01,0.403546981953952,0.250841750841751,0.573076923076928,0.48831195251544
"223",2008-07-01,0.292781580584942,0.203703703703704,0.465384615384619,0.379083097984781
"224",2008-08-01,0.591163658991911,0.212121212121214,0.484615384615393,0.537889521803652
"225",2008-09-01,0.768512756689483,0.292929292929293,0.669230769230774,0.718871762960129
"226",2008-10-01,0.435283136278781,0.186868686868688,0.426923076923083,0.431103106600932
"227",2008-11-01,0.647790914747978,0.265993265993267,0.607692307692314,0.627741611220146
"228",2008-12-01,0.672993154947107,0.272727272727272,0.623076923076926,0.648035039012016
"229",2009-01-01,0.514312383322961,0.249158249158251,0.569230769230777,0.541771576276869
"230",2009-02-01,0.514312383322961,0.249158249158251,0.569230769230777,0.541771576276869
"231",2009-03-01,0.601431238332296,0.276094276094277,0.630769230769238,0.616100234550767
"232",2009-04-01,0.536403235843187,0.250841750841751,0.573076923076928,0.554740079460057
"233",2009-05-01,NA,0.247474747474746,0.565384615384616,0.565384615384616
"234",2009-06-01,NA,0.250841750841751,0.573076923076928,0.573076923076928
"235",2009-07-01,0.468263845675172,0.22895622895623,0.523076923076929,0.495670384376051
"236",2009-08-01,0.589607965152458,0.297979797979798,0.680769230769236,0.635188597960847
"237",2009-09-01,0.592408214063473,0.242424242424241,0.553846153846154,0.573127183954814
"238",2009-10-01,0.375233354075918,0.200336700336699,0.457692307692308,0.416462830884113
"239",2009-11-01,0.819228375855631,0.237373737373736,0.542307692307692,0.680768034081662
"240",2009-12-01,0.789670192906036,0.32154882154882,0.734615384615385,0.762142788760711
"241",2010-01-01,1,0.324915824915825,0.742307692307697,0.871153846153848
"242",2010-02-01,0.723086496577474,0.313131313131314,0.715384615384622,0.719235555981048
"243",2010-03-01,0.496888612321096,0.294612794612793,0.673076923076925,0.58498276769901
"244",2010-04-01,0.503422526446796,0.287878787878788,0.657692307692312,0.580557417069554
"245",2010-05-01,0.298070939639079,0.249158249158251,0.569230769230777,0.433650854434928
"246",2010-06-01,0.253889234598632,0.265993265993267,0.607692307692314,0.430790771145473
"247",2010-07-01,0.192594897324207,0.22053872053872,0.503846153846156,0.348220525585181
"248",2010-08-01,0.120099564405725,0.191919191919194,0.438461538461545,0.279280551433635
"249",2010-09-01,0.132856253889235,0.175084175084178,0.400000000000009,0.266428126944622
"250",2010-10-01,0.342874922215308,0.207070707070709,0.473076923076931,0.407975922646119
"251",2010-11-01,0.613565650280026,0.297979797979798,0.680769230769236,0.647167440524631
"252",2010-12-01,0.703173615432484,0.319865319865319,0.730769230769235,0.716971423100859
"253",2011-01-01,0.721841941505912,0.309764309764309,0.707692307692311,0.714767124599111
"254",2011-02-01,0.781891723708774,0.345117845117845,0.788461538461545,0.785176631085159
"255",2011-03-01,0.386434349719976,0.282828282828283,0.64615384615385,0.516294097936913
"256",2011-04-01,0.276291225886745,0.232323232323231,0.53076923076923,0.403530228327988
"257",2011-05-01,0.224019912881145,0.207070707070709,0.473076923076931,0.348548417979038
"258",2011-06-01,0.169570628500311,0.198653198653199,0.453846153846157,0.311708391173234
"259",2011-07-01,0.13658991910392,0.166666666666667,0.380769230769235,0.258679574936578
"260",2011-08-01,0.0746733042937152,0.146464646464647,0.334615384615387,0.204644344454551
"261",2011-09-01,0.0454262601120102,0.131313131313131,0.300000000000001,0.172713130056006
"262",2011-10-01,0.154013690105787,0.153198653198652,0.349999999999999,0.252006845052893
"263",2011-11-01,0.398879900435594,0.168350168350168,0.384615384615385,0.39174764252549
"264",2011-12-01,0.766957062850031,0.255892255892257,0.58461538461539,0.67578622373271
"265",2012-01-01,0.777535780958308,0.309764309764309,0.707692307692311,0.742614044325309
"266",2012-02-01,0.638456751711263,0.286195286195288,0.653846153846162,0.646151452778712
"267",2012-03-01,0.419415059116367,0.274410774410772,0.626923076923077,0.523169068019722
"268",2012-04-01,0.745488487865588,0.346801346801346,0.792307692307695,0.768898090086641
"269",2012-05-01,0.497199751088986,0.294612794612793,0.673076923076925,0.585138337082955
"270",2012-06-01,0.773490976975732,0.33838383838384,0.773076923076932,0.773283950026332
"271",2012-07-01,0.683571873055384,0.32828282828283,0.750000000000008,0.716785936527696
"272",2012-08-01,0.387367766023646,0.262626262626262,0.600000000000002,0.493683883011824
"273",2012-09-01,0.822962041070317,0.304713804713804,0.696153846153849,0.759557943612083
"274",2012-10-01,0.637523335407592,0.318181818181819,0.726923076923084,0.682223206165338
"275",2012-11-01,0.931860609831985,0.368686868686867,0.842307692307693,0.887084151069839
"276",2012-12-01,0.841630367143747,0.368686868686867,0.842307692307693,0.84196902972572
"277",2013-01-01,0.827317983820784,0.34006734006734,0.776923076923083,0.802120530371933
"278",2013-02-01,0.584629744866211,0.316498316498314,0.723076923076923,0.653853333971567
"279",2013-03-01,0.488176726820162,0.32154882154882,0.734615384615385,0.611396055717773
"280",2013-04-01,0.4542626011201,0.287878787878788,0.657692307692312,0.555977454406206
"281",2013-05-01,0.48070939639079,0.308080808080809,0.70384615384616,0.592277775118475
"282",2013-06-01,0.374922215308028,0.255892255892257,0.58461538461539,0.479768799961709
"283",2013-07-01,0.355009334163038,0.225589225589225,0.515384615384618,0.435196974773828
"284",2013-08-01,0.470130678282515,0.249158249158251,0.569230769230777,0.519680723756646
"285",2013-09-01,0.449906658369632,0.235690235690236,0.538461538461542,0.494184098415587
"286",2013-10-01,0.908836341008089,0.323232323232324,0.738461538461546,0.823648939734818
"287",2013-11-01,0.621032980709396,0.32828282828283,0.750000000000008,0.685516490354702
"288",2013-12-01,0.696639701306783,0.350168350168351,0.800000000000007,0.748319850653395
"289",2014-01-01,0.884878655880523,0.397306397306398,0.907692307692315,0.896285481786419
"290",2014-02-01,0.634100808960797,0.350168350168351,0.800000000000007,0.717050404480402
"291",2014-03-01,0.458307405102677,0.313131313131314,0.715384615384622,0.586846010243649
"292",2014-04-01,0.502177971375233,0.311447811447809,0.711538461538461,0.606858216456847
"293",2014-05-01,0.645301804604854,0.375420875420877,0.857692307692317,0.751497056148585
"294",2014-06-01,0.467952706907281,0.309764309764309,0.707692307692311,0.587822507299796
"295",2014-07-01,0.32389545737399,0.249158249158251,0.569230769230777,0.446563113302384
"296",2014-08-01,0.261667703795894,0.22895622895623,0.523076923076929,0.392372313436412
"297",2014-09-01,0.199128811449907,0.22053872053872,0.503846153846156,0.351487482648031
"298",2014-10-01,0.410080896079652,1,NA,0.410080896079652
"299",2014-11-01,0.686683260734288,0.358585858585856,0.819230769230769,0.752957014982528
"300",2014-12-01,0.716552582451773,0.33838383838384,0.773076923076932,0.744814752764353
